"","symboling","normalized.losses","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","price.range","make.continent"
"107",1,231,"nissan","gas","std","two","hatchback","rwd","front",99.2,178.5,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,18399,"high","asia"
"139",2,83,"subaru","gas","std","two","hatchback","fwd","front",93.7,156.9,63.4,53.7,2050,"ohcf","four",97,"2bbl",3.62,2.36,9,69,4900,31,36,5118,"low","asia"
"140",2,83,"subaru","gas","std","two","hatchback","fwd","front",93.7,157.9,63.6,53.7,2120,"ohcf","four",108,"2bbl",3.62,2.64,8.7,73,4400,26,31,7053,"low","asia"
"141",2,83,"subaru","gas","std","two","hatchback","4wd","front",93.3,157.3,63.8,55.7,2240,"ohcf","four",108,"2bbl",3.62,2.64,8.7,73,4400,26,31,7603,"low","asia"
"142",0,102,"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2145,"ohcf","four",108,"2bbl",3.62,2.64,9.5,82,4800,32,37,7126,"low","asia"
"143",0,102,"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2190,"ohcf","four",108,"2bbl",3.62,2.64,9.5,82,4400,28,33,7775,"low","asia"
"144",0,102,"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2340,"ohcf","four",108,"mpfi",3.62,2.64,9,94,5200,26,32,9960,"medium","asia"
"145",0,102,"subaru","gas","std","four","sedan","4wd","front",97,172,65.4,54.3,2385,"ohcf","four",108,"2bbl",3.62,2.64,9,82,4800,24,25,9233,"medium","asia"
"146",0,102,"subaru","gas","turbo","four","sedan","4wd","front",97,172,65.4,54.3,2510,"ohcf","four",108,"mpfi",3.62,2.64,7.7,111,4800,24,29,11259,"medium","asia"
"147",0,89,"subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2290,"ohcf","four",108,"2bbl",3.62,2.64,9,82,4800,28,32,7463,"low","asia"
"148",0,89,"subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2455,"ohcf","four",108,"mpfi",3.62,2.64,9,94,5200,25,31,10198,"medium","asia"
"149",0,85,"subaru","gas","std","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2420,"ohcf","four",108,"2bbl",3.62,2.64,9,82,4800,23,29,8013,"medium","asia"
"150",0,85,"subaru","gas","turbo","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2650,"ohcf","four",108,"mpfi",3.62,2.64,7.7,111,4800,23,23,11694,"medium","asia"
"151",1,87,"toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,1985,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,35,39,5348,"low","asia"
"152",1,87,"toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,2040,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,38,6338,"low","asia"
"153",1,74,"toyota","gas","std","four","hatchback","fwd","front",95.7,158.7,63.6,54.5,2015,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,38,6488,"low","asia"
"154",0,77,"toyota","gas","std","four","wagon","fwd","front",95.7,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,37,6918,"low","asia"
"155",0,81,"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,7898,"medium","asia"
"156",0,91,"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,8778,"medium","asia"
"157",0,91,"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2081,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,37,6938,"low","asia"
"158",0,91,"toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2109,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,30,37,7198,"low","asia"
"161",0,91,"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2094,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,38,47,7738,"low","asia"
"162",0,91,"toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,28,34,8358,"medium","asia"
"163",0,91,"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,52.8,2140,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,28,34,9258,"medium","asia"
"164",1,168,"toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,29,34,8058,"medium","asia"
"165",1,168,"toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2204,"ohc","four",98,"2bbl",3.19,3.03,9,70,4800,29,34,8238,"medium","asia"
"166",1,168,"toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2265,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6600,26,29,9298,"medium","asia"
"167",1,168,"toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6600,26,29,9538,"medium","asia"
"168",2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,8449,"medium","asia"
"169",2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9639,"medium","asia"
"170",2,134,"toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9989,"medium","asia"
"171",2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2679,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11199,"medium","asia"
"172",2,134,"toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2714,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11549,"medium","asia"
"173",2,134,"toyota","gas","std","two","convertible","rwd","front",98.4,176.2,65.6,53,2975,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,17669,"high","asia"
"174",-1,65,"toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2326,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,29,34,8948,"medium","asia"
"176",-1,65,"toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2414,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,9988,"medium","asia"
"177",-1,65,"toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2414,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,10898,"medium","asia"
"178",-1,65,"toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2458,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,11248,"medium","asia"
"179",3,197,"toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,2976,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,20,24,16558,"high","asia"
"180",3,197,"toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,19,24,15998,"medium","asia"
"181",-1,90,"toyota","gas","std","four","sedan","rwd","front",104.5,187.8,66.5,54.1,3131,"dohc","six",171,"mpfi",3.27,3.35,9.2,156,5200,20,24,15690,"medium","asia"
"182",-1,121.840490797546,"toyota","gas","std","four","wagon","rwd","front",104.5,187.8,66.5,54.1,3151,"dohc","six",161,"mpfi",3.27,3.35,9.2,156,5200,19,24,15750,"medium","asia"
